State,Topic,Question,Response,Score,Answer
Alabama,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Alabama,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Alabama,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Alabama,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Alabama,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Alaska,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Alaska,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Alaska,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Alaska,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Alaska,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Alaska,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Alaska,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Dissatisfied,2,B-Fair
Alaska,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Dissatisfied,2,B-Fair
Alaska,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Alaska,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
